,BuildingType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,LargestPropertyUseTypeGFA,GFABuildingRate,GFAParkingRate,Distance_from_SeattleKM,Log_SiteEnergyUse,GFAPerBuilding,GFAPerFloor
2106,Multifamily MR (5-9),East,2006.0,1.0,5.0,131050,Multifamily,66679.0,0.6694772987409385,0.3305227012590614,1.7074792298341925,14.993755547187565,131050.0,26210.0
2108,Multifamily LR (1-4),East,1928.0,1.0,4.0,40800,Multifamily,33984.0,0.0,0.0,1.6078211829635003,12.880349617081867,40800.0,10200.0
2109,Multifamily MR (5-9),East,1965.0,1.0,5.0,39226,Multifamily,39226.0,0.0,0.0,1.6243940091032119,13.811003416042873,39226.0,7845.2
2110,NonResidential,East,1907.0,1.0,2.0,36000,Office,27600.0,1.0,0.0,1.2247895905087538,13.805316272356565,36000.0,18000.0
2111,Multifamily LR (1-4),East,1905.0,1.0,3.0,23469,Multifamily,23469.0,0.0,0.0,1.3309201382352565,14.363633194796908,23469.0,7823.0
2112,Multifamily LR (1-4),East,1916.0,1.0,3.0,21000,Multifamily,29618.0,0.0,0.0,1.3243798117526577,14.378893669188912,21000.0,7000.0
2113,NonResidential,East,1913.0,1.0,1.0,36000,Parking,18000.0,1.0,0.0,1.3615244058360012,14.130247207468445,36000.0,36000.0
2114,NonResidential,East,1915.0,1.0,2.0,43200,Non-Refrige,43200.0,1.0,0.0,1.428638259303675,14.534170868057014,43200.0,21600.0
2116,NonResidential,Greater Duwamish,1913.0,1.0,4.0,53840,Office,42800.0,0.7609583952451708,0.23904160475482913,1.272894778418322,14.884068797609729,53840.0,13460.0
2117,NonResidential,Greater Duwamish,1975.0,1.0,1.0,43794,Retail Stor,34038.0,1.0,0.0,2.0324462129971765,14.078027695361488,43794.0,43794.0
2118,NonResidential,Greater Duwamish,1968.0,1.0,1.0,48280,Non-Refrige,40780.0,1.0,0.0,3.508261693010563,14.865101443229221,48280.0,48280.0
2119,NonResidential,Greater Duwamish,1954.0,1.0,1.0,36040,Distributio,31476.0,1.0,0.0,3.7400881688361705,12.905277457164475,36040.0,36040.0
2120,NonResidential,Northeast,1965.0,1.0,1.0,32822,Supermarket,35042.0,1.0,0.0,9.094372530375592,15.570725589616643,32822.0,32822.0
2121,Multifamily LR (1-4),Northeast,1961.0,1.0,2.0,20144,Multifamily,20144.0,0.0,0.0,8.968912730055239,13.485611768819291,20144.0,10072.0
2122,SPS-District K-12,Northeast,1948.0,1.0,1.0,64314,K-12 School,65210.0,1.0,0.0,9.311003434940007,14.671014654898578,64314.0,64314.0
2123,NonResidential,Northeast,1950.0,1.0,2.0,20385,Worship Fac,20385.0,1.0,0.0,8.854239258394646,13.668088057672598,20385.0,10192.5
